id,podjetje,ime_igre
636,BANDAI NAMCO Entertainment,Accel World VS. Sword Art Online Deluxe Edition
637,Fruitbat Factory,Acceleration of SUGURI 2
638,"Rockin Android, Rockin' Android",Acceleration of SUGURI X-Edition HD
639,Secret Overground Lab,Access
640,Stately Snail,Access Denied
641,Crows Crows Crows,Accounting (Legacy)
642,Crows Crows Crows,Accounting+
643,trasnatech,AccuRC 2
644,BANDAI NAMCO Entertainment,Ace Combat Assault Horizon - Enhanced Edition
645,Catmoon Productions,Ace Meerkats
646,Ocean Media LLC,Ace Of Words
647,xPathfinder Games,Ace of Protectors
648,AGM PLAYISM,Ace of Seafood
649,DLsite,AceSpeeder3
650,HiTech Creations Inc.,Aces High III
651,Culture Attack Studio,Aces Wild: Manic Brawling Action!
652,Activision,Aces of the Galaxy
653,HandyGames,Aces of the Luftwaffe
654,HandyGames,Aces of the Luftwaffe - Squadron
655,Achpile,AchBall
656,Eat All The Games,Achaem
657,MGG Studio,Achievement Clicker
658,MGG Studio,Achievement Clicker 2018
659,MGG Studio,Achievement Clicker 2019
660,QUIKIN Games,Achievement Collector: Space
661,DRUNKEN APES,Achievement Creator
662,IHM Studio,Achievement Idler: Black
663,IHM Studio,Achievement Idler: Red
664,Perverse Games,Achievement Lurker: Another one bites the dust
665,Perverse Games,Achievement Lurker: Ballad of the Shimapan Warrior - King of Panties
666,Perverse Games,Achievement Lurker: Dad Jokes
667,Perverse Games,Achievement Lurker: Easiest Cosmetic Numbers
668,Perverse Games,Achievement Lurker: Respectable Accomplishment
669,Perverse Games,Achievement Lurker: We Give Up!
670,Perverse Games,Achievement Lurker: You are going to have to work hard for these nuts
671,Wonderbox Games,Achievement Machine
672,Game for people,Achievements printer
673,Studio Goya,Achromatic
674,Hazardous Software Inc.,Achron
675,NA,Achtung die Kugel!
676,Ripstone,Achtung! Cthulhu Tactics
677,Hernan Caro Vilaburges,Acid Nimbus
678,Acid Spy Games,Acid Spy
679,Black Shell Media,Acorn Assault: Rodent Revolution
680,Ninja Chip Studios,Acorns Above: A World Gone Nuts
681,Knife Edge Software,Acro FS Alpha Demo
682,Blue Comet Games,Acro Storm
683,Composition Game Studio,Acropolis: The Archaic Age
684,Jonathan Sprauel Games,Across
685,Uborm,Across Flash
686,Andrei Romanov,Across The Moment
687,Focus Home Interactive,Act of Aggression - Reboot Edition
688,THQ Nordic,Act of War: Direct Action
689,Devdan Games,Action Alien
690,Devdan Games,Action Alien: Prelude
691,Devdan Games,Action Alien: Tropical Mayhem
692,RageSquid,Action Henk
693,Aeonic Entertainment,Action Legion
694,TheElvenTale Games,Action Rush
695,Mirillis,Action! - Gameplay Recording and Streaming
696,DNV,ActionpaintVR
697,Console Classics,Actua Golf 3
698,Actual Tools,Actual Multiple Monitors
699,WZOGI,Actual Sunlight
700,Average Games,Actual Volleyball
701,Trifulca Force,Acucalypse
702,Acute Art,Acute Art
703,Since Idea Games,Ad Exitum
704,Hyper Hippo Games,AdVenture Capitalist
705,Hyper Hippo Games,AdVenture Communist
706,Blackturn Ltd,Adam Waste
707,Mad Head Games,Adam Wolfe
708,Religious Studios,Adam and Eve: The Game - Chapter 1
709,SOEDESCO Publishing,Adam's Venture Chronicles
710,SOEDESCO Publishing,Adam's Venture: Origins
711,Capiproducts,AddForce
712,Philippe Pelchat,Adecke - Cards Games Deluxe
713,Qumaron,Adelantado 4 Aztec Skulls
714,Qumaron,Adelantado Trilogy. Book Three
715,Qumaron,Adelantado Trilogy. Book Two
716,Qumaron,Adelantado Trilogy. Book one
717,Unosquare,Adele: Following the Signs
718,Membraine Studios,Adeptus Titanicus: Dominus
719,HitPoint Studios Inc.,Adera
720,sleepy macaw,Adjacency
721,Irbynx,Admine
722,"TALESSHOP Co., Ltd.",Adolescent Santa Claus
723,White Rabbit Games,Adorables
724,David Pierucci,Adrenaline Adventure
725,stariy8419,Adult Math
726,KiwiGame,Adult Toy Store
727,Mindfog games,Adva-lines
728,AGP::Studios,Advanced Gaming Platform::Epica
729,Chadams Studios,Advanced Mechanized Spacecraft
730,Slitherine Ltd.,Advanced Tactics Gold
731,Omega Games,Advent
732,Majesco Entertainment,Advent Rising
733,Groupees Interactive,Adventure Apes and the Mayan Mystery
734,Paul Georghiou,Adventure Boy Cheapskate DX
735,Strategy First,Adventure Chronicles: The Search For Lost Treasure
736,Edible Entertainment,Adventure Craft
737,Miller Tinkerhess,Adventure Delivery Service
738,IVGEMENT,Adventure Game
739,Skydome Studios,Adventure Golf VR
740,Dikobraz Games,Adventure Hero
741,Ryan Davis,Adventure Lamp
742,Binarystudio 54,Adventure Of Thieves
743,Megaslow Studio,Adventure Portal
744,Cartoon Network Games,Adventure Time: Finn and Jake's Epic Quest
745,Cartoon Network,Adventure Time: Magic Man's Head Games
746,Outright Games,Adventure Time: Pirates of the Enchiridion
747,Alibi,Adventure World
748,CoughCat Software,Adventure in Kana Village
749,"Pixel Barrage Entertainment, Inc.",Adventure in the Tower of Flight
750,D1ONE,Adventure of a Digger
751,MoeNovel,Adventure of a Lifetime
752,"Artix Entertainment, LLC",AdventureQuest 3D
753,"BBEW BBEW, LLC",Adventurer Manager
754,TopArcadeApps,Adventures Of Fluzz
755,Ghost_RUS Games,Adventures Of Pipi
756,Ghost_RUS Games,Adventures Of Pipi 2 Save Hype
757,Sometimes You,Adventures On The Polluted Islands
758,Protoria Studios,Adventures in the Light & Dark
759,Deck13,Adventures of Bertram Fiddle: Episode 1: A Dreadly Business
760,Deck13,Adventures of Bertram Fiddle: Episode 2: A Bleaker Predicklement
761,Tuomo's games,Adventures of Dragon
762,LionAnt,Adventures of Hendri
763,Polina Medyanik,Adventures of Mike
764,TicToc Games,Adventures of Pip
765,MumboJumbo,Adventures of Robinson Crusoe
766,Smudged Cat Games Ltd,Adventures of Shuggy
767,MAILPlus s.r.o.,Adventures of the Worm
768,Degica,Adventurezator: When Pigs Fly
769,Ernests Klavins,Adventuring Gentleman
770,VoxelStorm,AdvertCity
771,Innuendo Squad Studios,Aegis
772,Humble Bundle,Aegis Defenders
773,Aksys Games,Aegis of Earth: Protonovus Assault
774,Aurox Studios,AegisM
775,Ahndong Studio,Aeioth RPG
776,Illusion Ranger,Aeon
777,"Bat Country Games, LLC",Aeon Command
778,Two Bits Kid,Aeon of Sands - The Trail
779,Ludi Dorici,Aequitas Orbis
780,ektomarch,Aerannis
781,SOEDESCO Publishing,AereA
782,Devdan Games,Aerial Destruction
783,Matthew Nuss,Aerial Guardian
784,Soloweb Studios,Aero's Quest
785,Camerron ScottSaxon Niewoehner,AeroChopper
786,IPACS,Aerofly FS 1 Flight Simulator
787,IPACS,Aerofly FS 2 Flight Simulator
788,Phoesion,Aeroplanoui
789,gfdsahdgsye7,Aerospace Forces
790,csgood,Aesthetic Arena
791,Adam DeLease,Aesthetic Melody
792,Harissac,Aesthetic World
793,Creaky Lantern Games,Aeternum
794,Toxic Sasquatch LLC,Aether Drift
795,Munchkin's Lair,Aetherspace
796,EasyGames,Aeve:Zero Gravity
797,"Nyble, N99",Afelhem
798,Choice of Games,Affairs of the Court: Choice of Romance
799,Light Vision Interactive,Affected Zone Tactics
800,Corrosive Studios LLC,Affliction
801,Oryzhon Studios,AffordaGolf Online
802,Slitherine Ltd.,Afghanistan '11
803,Ghost_RUS Games,Africa Hunting
804,JAMgames,After All
805,After Death Team,After Death
806,None,After Dreams
807,Petter Malmehed,After Hours
808,Green Sawdust,After Life - Story of a Father
809,Pablo Rueda Feraud,After Life VR
810,DV9DESIGN,After Rain: Phoenix Rise
811,Black Cloud Studios,After Reset RPG
812,Elushis Music & Gaming,After The End: The Harvest
813,Anarkis Gaming,After the Collapse
814,Goatee Games,After the Empire
815,Atriagames,AfterTime
816,The Fine Young Capitalists,Afterlife Empire
817,Matthew Willis,Aftermath Y2K
818,Red Rider,Afternoon empire
819,KillGame,Again?
820,Cogent Education,Against the Gradient
821,Kursed Studios,Agapan
822,Ghostlight LTD,Agarest: Generations of War
823,Ghostlight LTD,Agarest: Generations of War 2
824,Ghostlight LTD,Agarest: Generations of War Zero
825,Microids,Agatha Christie - The ABC Murders
826,Mango Protocol,Agatha Knife
827,Evil Burgers,Age Of Forays
828,Crian Soft,Age of Barbarian Extended Cut
829,Capcom,Age of Booty
830,Anarchy Enterprises,Age of Castles: Warlords
831,Fuero Games,Age of Cavemen
832,Łukasz Jakowski Games,Age of Civilizations II
833,Funcom,Age of Conan: Unchained
834,Noble Master LLC,Age of Conquest IV
835,Xbox Game Studios,Age of Empires II HD
836,"ValuSoft, Retroism",Age of Enigma: The Secret of the Sixth Ghost
837,Evergreen,Age of Farming
838,Age of Fear,Age of Fear 2: The Chaos Lord GOLD
839,Age of Fear,Age of Fear 3: The Legend
840,Age of Fear,Age of Fear: The Undead King
841,Astrobot,Age of Giants
842,Creative Storm Entertainment,Age of Gladiators
843,Creative Storm Entertainment,Age of Gladiators II: Death League
844,Creative Storm Entertainment,Age of Gladiators II: Rome
845,Omnigames,Age of Heroes (VR)
846,5th Planet Games,Age of Heroes: Conquest
847,Xbox Game Studios,Age of Mythology: Extended Edition
848,Roboto Games,Age of Rivals
849,Team Indev,Age of Steel: Recharge
850,Seattletek,Age of Survival
851,Argonauts Interactive,Age of Viking Conquest
852,Paradox Interactive,Age of Wonders
853,Paradox Interactive,Age of Wonders II: The Wizard's Throne
854,Paradox Interactive,Age of Wonders III
855,Paradox Interactive,Age of Wonders Shadow Magic
856,Steven Mildenhall,AgeOfDarkness
857,Exordium Games,Agenda
858,KISS ltd,Agent Awesome
859,Artifex Mundi,Agent Walker: Secret Journey
860,Fred Ells,Agent X: Equation Rider
861,U Game Me,Agents of Aggro City Online
862,Deep Silver,Agents of Mayhem
863,"PQube Limited, Look At My Game",Aggelos
864,Buka Entertainment,Aggression: Europe Under Fire
865,Slitherine Ltd.,Aggressors: Ancient Rome
866,Madmind Studio,Agony
867,Madmind Studio,Agony UNRATED
868,Asmodee Digital,Agricola: All Creatures Big and Small
869,Libredia,Agricultural Simulator 2011: Extended Edition
870,United Independent Entertainment GmbH,Agricultural Simulator 2012: Deluxe Edition
871,United Independent Entertainment GmbH,Agricultural Simulator 2013 - Steam Edition
872,United Independent Entertainment GmbH,Agricultural Simulator: Historical Farming
873,"Fancy Fish Games, Whitethorn Digital",Aground
874,Xitilon,"Ah, Love!"
875,Ahlman Game Studio,Ahlman Arcade 2018
876,Alice & Smith,Ahnayro: The Dream World
877,4 I Lab,Ahros: One Warrior Chronicle
878,Bmc Studio,Aidsmoji: The Forbidden Fruit
879,Freshtrax,Aik's Cheese Adventures
880,ProGames Studio,Aim Hero
881,Statespace,Aim Lab
882,HITCLE.COM,Aim Master
883,Aim Theory,Aim Theory - Trainer
884,Reblexis Studio,Aim Trainer 3D
885,DanD,Aim Trainer Pro
886,Victor Möller,Aimtastic
887,Landfall,Air Brawl
888,NS,Air Combat
889,Sky Coder,Air Combat Arena
890,Games Farm,Air Conflicts: Pacific Carriers
891,Games Farm,Air Conflicts: Secret Wars
892,Games Farm,Air Conflicts: Vietnam
893,Vishwa Karma,Air Dash
894,Blendo Games,Air Forte
895,Lazy Bum Games,Air Guardians
896,Standby,Air Hockey
897,3Division,Air Missions: HIND
898,Emblematic Group,Air Rage
899,Bad Rhino Games LLC,Air Raid Over Britain
900,For Kids,Air Tactical
901,Garage Games,Air Threat
902,Sorcererstudios,Air Traffic Disruptor
903,Carbon Games,AirMech Command
904,Carbon Games,AirMech Strike
905,Carbon Games,AirMech Wastelands
906,Nekyau,Airbo
907,Satur Entertainment,Aircraft Evolution
908,Freshtrax,Aircraft War X
909,Artbox Games,Airi's World
910,Joona Vartiainen,Airline Director 2 - Tycoon Game
911,Kalypso Media Digital,Airline Tycoon 2
912,Airborne Games,Airmen
913,Action Portal,Airplane Sky Voyage
914,Apoapsis Studios,Airport CEO
915,United Independent Entertainment GmbH,Airport Fire Department - The Simulation
916,rondomedia GmbH,Airport Firefighters - The Simulation
917,Big Fat Simulations Inc.,Airport Madness 3D
918,Big Fat Simulations Inc.,Airport Madness 3D: Volume 2
919,Big Fat Simulations Inc.,Airport Madness 4
920,Big Fat Simulations Inc.,Airport Madness: Time Machine
921,Big Fat Simulations Inc.,Airport Madness: World Edition
922,STICLI Games,Airport Master
923,United Independent Entertainment GmbH,Airport Simulator 2014
924,rondomedia GmbH,Airport Simulator 2015
925,Toplitz Productions,Airport Simulator 2019
926,EQGames,Airscape - The Fall of Gravity
927,Flying Interactive,Airship Asunder
928,CBL Industries,Airship Commander
929,YorkshireRifles,Airship Dragoon
930,David Stark,Airships: Conquer the Skies
931,Fifth Dimension Company,Airstrike HD
932,Bitlock Studio,Airstrike One
933,AMG GAMES,Airtone
934,bidmei,Aiso
935,Ludic Studios,Akane
936,Haruneko Entertainment,Akane the Kunoichi
937,Spicy Horse,Akaneiro: Demon Hunters
938,JMJ Interactive,Akihabara - Feel the Rhythm
939,JMJ Interactive,Akihabara - Feel the Rhythm Remixed
940,ThinkOfGames,Akin
941,ThinkOfGames,Akin Vol 2
942,Tianyu Studio,Akuatica
943,Indie Dynamics,Akuya
944,Himalaya Studios,Al Emmo and the Lost Dutchman's Mine
945,Himalaya Studios,Al Emmo's Postcards from Anozira
946,Microïds Indie,Aladin & the Enchanted Lamp
947,Remedy Entertainment,Alan Wake
948,Remedy Entertainment,Alan Wake's American Nightmare
949,Matt Gadient,Alarameth TD
950,Merge Games,Albedo: Eyes from Outer Space
951,TeeKoo Games Ltd,Albert Mort - Desert Heat
952,K Bros Games,Albert and Otto
953,Ape Law,Albino Lullaby: Episode 1
954,Sandbox Interactive GmbH,Albion Online
955,Games For All,Alcatraz Builder
956,OriginsVR,Alcatraz: VR Escape Room
957,Xiqi Game,Alchemage
958,Matthew Brown,Alchemia
959,Lunatic Pixels,Alchemic Jousts
960,CrabWay,Alchemist
961,TreeView Studios,Alchemist Defender VR
962,"Foot in the Box, LLC",Alchemist Penguin
963,Kabuk Games,Alchemist's Castle
964,Niasoft,Alchemy Classic
965,Jetdogs Studios,Alchemy Mysteries: Prague Legends
966,tengenstudio,Alchemy of Castle
967,azimut team,Alchemyland
968,EasyVisual,Alea
969,Slitherine Ltd.,Alea Jacta Est
970,"Maximum Games, KISS ltd",Alekhine's Gun
971,Aleph=Null,Aleph Null
972,Creator Studio,Ales Dash
973,SEGA,Alex Kidd in the Enchanted Castle
974,Dharker Studio,Alexa's Wild Night
975,Questtracers,Alexia Crow and the Cave of Heroes
976,Purple Kingdom Games,Algae
977,Plug In Digital,Algo Bot
978,Valut,Algorithm
979,Alexander Goodwin,Algotica Iterations
980,Microïds Indie,Alice - Behind the Mirror
981,Kreativitetsbanken,Alice In VR
982,Tonee Ltd,Alice Must Find The Key To Escape (Hidden Objects)
983,AMG GAMES,Alice Mystery Garden
984,intelectiva,Alice in Wonderland - 3D Labyrinth Game
985,Microïds Indie,Alice in Wonderland - Hidden Objects
986,Crisp App Studio,Alice's Adventures - Hidden Object. Wimmelbild
987,OrionSoft,Alice's Mom's Rescue
988,8Floor,Alice's Patchwork
989,8Floor,Alice's Patchworks 2
990,AGM PLAYISM,Alicemare
991,Libredia Entertainment,Alicia Griffith – Lakeside Murder
992,Jetdogs Studios,Alicia Quatermain 2: The Stone of Fate
993,Jetdogs Studios,Alicia Quatermain 3: The Mystery of the Flaming Gold
994,Jetdogs Studios,Alicia Quatermain: Secrets Of The Lost Treasures
995,"COR Entertainment, LLC",Alien Arena: Warriors Of Mars
996,Alien Jellyfish,Alien Attack
997,Alien Jellyfish,Alien Attack: Pocket Edition
998,Jean-Baptiste Simillon,Alien Blitz
999,Team17 Digital Ltd,Alien Breed 2: Assault
1000,Team17 Digital Ltd,Alien Breed 3: Descent
1001,Team17 Digital Ltd,Alien Breed: Impact
1002,Dexion Games,Alien Bubble Destroyer
1003,Zydrone,Alien Crusader
1004,Remley Worldwide Productions LLC,Alien Food Frenzy
1005,Sigma Team Inc.,Alien Hallway
1006,Sigma Team Inc.,Alien Hallway 2
1007,Four Winged Studio,Alien Hostage
1008,Marjupi Games,Alien Insanity
1009,Garnudo Games,Alien Invaders
1010,Robert Lanthier,Alien Invaders from the Planet Plorth
1011,Jim Dex,Alien Invasion 3d
1012,guyhezi,Alien Invasion Tower Defense
1013,Supa Serious,Alien Mayhem
1014,Falkrus,Alien Planet
1015,CI Games,Alien Rage - Unlimited
1016,"Piko Interactive LLC, Classics Digital",Alien Rampage
1017,4M Software,Alien Revival - Episode 1 - Duty Calls
1018,Kraftix Games,Alien Robot Monsters
1019,Dagestan Technology,Alien Run
1020,Sigma Team Inc.,Alien Shooter
1021,Sigma Team Inc.,Alien Shooter 2 Conscription
1022,Sigma Team Inc.,Alien Shooter 2: Reloaded
1023,Sigma Team Inc.,Alien Shooter TD
1024,Sigma Team Inc.,Alien Shooter: Revisited
1025,SEGA,Alien Soldier
1026,Kalypso Media Digital,Alien Spidy
1027,Sinclair Strange,Alien Splatter Redux
1028,SEGA,Alien Storm
1029,Valve,Alien Swarm
1030,Reactive Drop Team,Alien Swarm: Reactive Drop
1031,Mímir Studio,Alien Worms Invasion
1032,Pom Pom Games,Alien Zombie Megadeath
1033,"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Alien: Isolation
1034,Jeremy Couillard,AlienAfterlife
1035,BeconGamesCorp,AlienSurvival
1036,David Ruttan,Aliens Are Rude!
1037,ANIM•ACE,Aliens Go Home Run
1038,Fair Games Studio,Aliens In The Yard
1039,Rebellion,Aliens versus Predator Classic 2000
1040,SEGA,Aliens vs. Predator
1041,crowgames UG (haftungsbeschränkt),Aliens&Asteroids
1042,Xitilon,Alienzix
1043,Strategy First,Alimardan Meets Merlin
1044,Strategy First,Alimardan's Mischief
1045,AliveIn Technology Ltd.,AliveInVR
1046,Bitlock Studio,All Alone: VR
1047,3000AD,All Aspect Warfare
1048,1st impact games,All Contact Lost
1049,Hedgehog Game Studios,All Cows In
1050,Mikhail Ramanousk,All Evil Night
1051,khos85,All Fall Down
1052,KISS ltd,All Guns On Deck
1053,xrrawva,All Haze Eve
1054,Mannequin Games LLC,All Is Dust
1055,Qumaron,All My Gods
1056,Analgesic Productions,All Our Asias
1057,Ink Syntax,All Stars Racing Cup
1058,Elysian Games,All That Remains
1059,inbetweengames,All Walls Must Fall - A Tech-Noir Tactics Game
1060,Gamechuck,All You Can Eat
1061,DACS Laboratories,All You Can Feed: Sushi Bar
1062,Doublesix Games,All Zombies Must Die!: Scorepocalypse
1063,"The Space, One to One Development Trust - Dreaming Methods, Mez Breeze Design",All the Delicate Duplicates
1064,8-Bit Development Inc.,All-Star Fielding Challenge VR
1065,PQube Limited,All-Star Fruit Racing
1066,OSA Studio,Allergenium
1067,Alex Cooper,Allied Nations
1068,Star Consult S.r.l.,Allison's Diary: Rebirth
1069,Penrose Studios,Allumette
1070,Turquesa Studios,Alma
1071,Digital Tribe,Almightree: The Last Dreamer
1072,Emir Games,Almost Alive
1073,GAMES in FLAMES,Aloha Paradise Hotel
1074,Killed Pixel Games,Alone
1075,Ovidiu Chis,Alone In The Forest VR
1076,TeamWaterFly,Alone K.W.
1077,Benjamin Rivers Inc.,Alone With You
1078,THQ Nordic,Alone in the Dark 3
1079,THQ Nordic,Alone in the Dark: Illumination
1080,THQ Nordic,Alone in the Dark: The New Nightmare
1081,Turbo Button,Along Together
1082,Nova-box,Along the Edge
1083,Synnergy Circle Games,Alpacapaca Dash
1084,Harald Wiestner - farbWERK,AlpenCROSS
1085,Alper Tüccar,Alpha & Beta
1086,Sherman3D,Alpha Kimori 1
1087,Chris Danelon,Alpha Locus VR
1088,SUBLEVEL ONE STUDIOS,Alpha Mike Foxtrot VR - AMF VR
1089,Turmoil Games,Alpha Polaris : A Horror Adventure Game
1090,Bohemia Interactive,Alpha Prime
1091,SEGA,Alpha Protocol
1092,Lightsoutgames,Alpha Runner
1093,Strategy First,Alpha Zylon
1094,BUD Games,Alpha/Omega: The Christian RPG
1095,Spry Fox LLC,Alphabear: Hardcover Edition
1096,Rad Dragon,Alphabeats: Master Edition
1097,vadimalexepta,Alphabet Jump
1098,KEMCO,Alphadia Genesis
1099,Suchworks Ltd,Alpine Ski VR
1100,AYE Technology,Altar Guardian
1101,"Altar Virtual Technologies, Inc.",Altar Show
1102,Apocoplay LLC,Alteil: Horizons
1103,Vague Pixels,Alter Army
1104,Pyramid Games S.A.,Alter Cosmos
1105,Viva Media,Alter Ego
1106,Choose Multiple LLC,Alter Ego
1107,SEGA,Altered Beast
1108,goonswarm,Alteric
1109,Bohemia Interactive,Alternativa
1110,Nimbly Games,Altitude
1111,Gugila,Altitude0: Lower & Faster
1112,"AltspaceVR, Inc.",AltspaceVR—The Social VR App
1113,N/A,Alum
1114,BeehiveBob,Alveari
1115,Rad Codex,Alvora Tactics
1116,Elden Pixels,Alwa's Awakening
1117,AntiAnti,Always Higher
