ID,Ime,Drzava,Datum_ustanovitve,Opis
252,Crawfish Interactive,United Kingdom,1997,Defunct in 2002
253,Crea-Tech,Japan,1988,
254,Creat Studios,United States,1990,
255,Creative Assembly,United Kingdom,1987,Acquired by Sega in 2005
256,Creative Computing,United States,1974,Defunct in 1985.
257,Creatures,Japan,1995,
258,Crimson Cow,Germany,2002,
259,Criterion Games,United Kingdom,1993,Subsidiary of Electronic Arts
260,Cronosoft,UK,2002,
261,Croteam,Croatia,1993,
262,Cryo Interactive,France,1992,Bankrupt in 2002
263,Cryptic Studios,United States,2000,Subsidiary of Perfect World
264,Crystal Computing,UK,1982,Reestablished as Design Design in 1984.
265,Crystal Dynamics,United States,1992,Acquired by Square Enix in 2009
266,Crytek,Germany,1999,
267,Crytek UK,United Kingdom,1999,Founded as Free Radical Design; acquired by Crytek in 2009; defunct in 2014
268,Culture Brain Excel,Japan,1980,
269,Cyan Worlds,United States,1987,
270,Cyanide,France,2000,Acquired by Bigben Interactive (latterly Nacon) in 2018
271,CyberConnect2,Japan,1996,
272,CyberStep,Japan,2000,Developer/publisher of global online games
273,Cyberdreams,United States,1990,Defunct in 1997.
274,Cyberlore Studios (Blueline Simulations[9]),United States,1992,Developer of computer games
275,Cybersoft,Florida,1994,Label of GameTek. Last game published in 1995.
276,Cygames,Japan,2011,Subsidiary of CyberAgent
277,D3 Publisher,Japan,1996,
278,DK'Tronics,UK,1981,Defunct in 1993.
279,DROsoft,Spain,1986,Acquired by Electronic Arts in 1994.
280,Daedalic Entertainment,Germany,2007,
281,Dambuster Studios,United Kingdom,2014,Formed by former employees of Crytek UK; acquired by Koch Media in 2014 and managed by its Deep Silver division
282,Danger Close Games,United States,1995,Subsidiary of Electronic Arts; defunct in 2013
283,DarXabre,The Netherlands,2001,Defunct.
284,Data Age,United States,1982,Defunct in 1983.
285,Data Becker,Germany,1980,Defunct in 2014.
286,Data East,Japan,1976,
287,Datam Polystar,Japan,1990,No longer publishes video games.
288,Datamost,United States,1981,Defunct in 1985.
289,Datasoft,United States,1980,Reformed as IntelliCreations in 1987.
290,Davidson & Associates,United States,1983,Acquired by CUC International in 1996. Defunct in 1999.
291,Davilex Games,The Netherlands,1997,Ceased publishing video games in 2005.
292,Davka,United States,1982,No longer publishes video games.
293,Day 1 Studios,United States,2001,Merged with WarGaming[10]
294,Daybreak Game Company,United States,1997,Acquired by Enad Global 7 in 2020.[11]
295,DeNA,Japan,1999,
296,Deadline Games,Denmark,1996,
297,Deck13,Germany,2001,Acquired by Focus Home Interactive in 2020.[12]
298,Deep Silver,Germany,2002,Label of Koch Media. Purchased video game developer Volition and the Metro franchise from THQ in 2013. Acquired by THQ Nordic in 2018.
